sample_i,t_ms,roi_margin_ratio,low_clip,high_clip,p01,p05,p50,p95,p99,contrast,dynamic_range,exposure_bad,reasons
103,1758492792336.770996,0.050000,0.219213,0.019417,0.000000,0.000000,122.000000,222.000000,254.000000,254.000000,222.000000,0,
104,1758492792503.630127,0.050000,0.221572,0.016384,0.000000,0.000000,121.000000,214.000000,253.000000,253.000000,214.000000,0,
105,1758492792670.697021,0.050000,0.219134,0.015069,0.000000,0.000000,120.000000,213.000000,253.000000,253.000000,213.000000,0,
106,1758492792837.555908,0.050000,0.227011,0.012627,0.000000,0.000000,113.000000,215.000000,251.000000,251.000000,215.000000,0,
107,1758492793004.416016,0.050000,0.236373,0.016317,0.000000,0.000000,108.000000,212.000000,253.000000,253.000000,212.000000,0,
108,1758492793171.274902,0.050000,0.242316,0.020265,0.000000,0.000000,107.000000,214.000000,254.000000,254.000000,214.000000,0,
109,1758492793338.134033,0.050000,0.242548,0.025104,0.000000,0.000000,107.000000,225.000000,254.000000,254.000000,225.000000,0,
110,1758492793505.018799,0.050000,0.243181,0.029754,0.000000,0.000000,106.000000,231.000000,255.000000,255.000000,231.000000,0,
111,1758492793671.877930,0.050000,0.244492,0.033549,0.000000,0.000000,105.000000,236.000000,255.000000,255.000000,236.000000,0,
112,1758492793838.738037,0.050000,0.243234,0.033810,0.000000,0.000000,105.000000,237.000000,254.000000,254.000000,237.000000,0,
113,1758492794005.596924,0.050000,0.242520,0.034088,0.000000,0.000000,105.000000,236.000000,254.000000,254.000000,236.000000,0,
114,1758492794172.481934,0.050000,0.246589,0.028743,0.000000,0.000000,102.000000,229.000000,254.000000,254.000000,229.000000,0,
115,1758492794339.341064,0.050000,0.249205,0.023729,0.000000,0.000000,100.000000,223.000000,254.000000,254.000000,223.000000,0,
116,1758492794506.201172,0.050000,0.252730,0.026818,0.000000,0.000000,101.000000,228.000000,254.000000,254.000000,228.000000,0,
117,1758492794673.060059,0.050000,0.254249,0.022022,0.000000,0.000000,101.000000,227.000000,254.000000,254.000000,227.000000,0,
118,1758492794839.919189,0.050000,0.252670,0.023710,0.000000,0.000000,100.000000,227.000000,254.000000,254.000000,227.000000,0,
119,1758492795006.803955,0.050000,0.253977,0.025742,0.000000,0.000000,96.000000,223.000000,254.000000,254.000000,223.000000,0,
120,1758492795173.664062,0.050000,0.254946,0.025469,0.000000,0.000000,95.000000,229.000000,254.000000,254.000000,229.000000,0,
121,1758492795340.522949,0.050000,0.253030,0.018022,0.000000,0.000000,95.000000,220.000000,253.000000,253.000000,220.000000,0,
122,1758492795507.382080,0.050000,0.257727,0.018316,0.000000,0.000000,99.000000,216.000000,254.000000,254.000000,216.000000,0,
123,1758492795674.266846,0.050000,0.268427,0.020672,0.000000,0.000000,94.000000,220.000000,254.000000,254.000000,220.000000,0,
124,1758492795841.333984,0.050000,0.272341,0.024576,0.000000,0.000000,88.000000,227.000000,254.000000,254.000000,227.000000,0,
125,1758492796007.234131,0.050000,0.277295,0.022480,0.000000,0.000000,87.000000,224.000000,254.000000,254.000000,224.000000,0,
126,1758492796175.260010,0.050000,0.276911,0.022846,0.000000,0.000000,88.000000,226.000000,254.000000,254.000000,226.000000,0,
127,1758492796341.159912,0.050000,0.279661,0.028972,0.000000,0.000000,86.000000,231.000000,255.000000,255.000000,231.000000,0,
128,1758492796508.978027,0.050000,0.276215,0.026568,0.000000,0.000000,86.000000,229.000000,255.000000,255.000000,229.000000,0,
129,1758492796674.877930,0.050000,0.281201,0.014575,0.000000,0.000000,67.000000,227.000000,252.000000,252.000000,227.000000,0,
130,1758492796842.956055,0.050000,0.286619,0.026837,0.000000,0.000000,60.000000,230.000000,254.000000,254.000000,230.000000,0,
131,1758492797008.855957,0.050000,0.287948,0.027041,0.000000,0.000000,52.000000,231.000000,254.000000,254.000000,231.000000,0,
132,1758492797176.804199,0.050000,0.276684,0.017514,0.000000,0.000000,62.000000,220.000000,252.000000,252.000000,220.000000,0,
133,1758492797342.704102,0.050000,0.271502,0.021475,0.000000,0.000000,75.000000,235.000000,252.000000,252.000000,235.000000,0,
134,1758492797510.549072,0.050000,0.280027,0.016555,0.000000,0.000000,68.000000,232.000000,252.000000,252.000000,232.000000,0,
135,1758492797676.448975,0.050000,0.281335,0.017563,0.000000,0.000000,50.000000,230.000000,252.000000,252.000000,230.000000,0,
136,1758492797844.267090,0.050000,0.277800,0.020368,0.000000,0.000000,43.000000,230.000000,252.000000,252.000000,230.000000,0,
137,1758492798010.166992,0.050000,0.272272,0.022081,0.000000,0.000000,43.000000,231.000000,252.000000,252.000000,231.000000,0,
138,1758492798178.011963,0.050000,0.267711,0.026022,0.000000,0.000000,44.000000,234.000000,252.000000,252.000000,234.000000,0,
139,1758492798343.911865,0.050000,0.267266,0.016551,0.000000,0.000000,42.000000,220.000000,251.000000,251.000000,220.000000,0,
140,1758492798511.729980,0.050000,0.268462,0.017971,0.000000,0.000000,46.000000,223.000000,253.000000,253.000000,223.000000,0,
141,1758492798677.629883,0.050000,0.270094,0.021438,0.000000,0.000000,65.000000,233.000000,253.000000,253.000000,233.000000,0,
142,1758492798845.448975,0.050000,0.268461,0.032473,0.000000,0.000000,76.000000,239.000000,254.000000,254.000000,239.000000,0,
143,1758492799011.141113,0.050000,0.270027,0.032294,0.000000,0.000000,75.000000,239.000000,254.000000,254.000000,239.000000,0,
144,1758492799178.986084,0.050000,0.263138,0.034375,0.000000,0.000000,80.000000,241.000000,254.000000,254.000000,241.000000,0,
145,1758492799344.885986,0.050000,0.254945,0.041352,0.000000,0.000000,92.000000,245.000000,254.000000,254.000000,245.000000,0,
146,1758492799512.704102,0.050000,0.256827,0.042774,0.000000,0.000000,106.000000,245.000000,254.000000,254.000000,245.000000,0,
147,1758492799678.604004,0.050000,0.257228,0.029192,0.000000,0.000000,93.000000,234.000000,254.000000,254.000000,234.000000,0,
148,1758492799846.448975,0.050000,0.251325,0.021152,0.000000,0.000000,78.000000,221.000000,253.000000,253.000000,221.000000,0,
149,1758492800012.348877,0.050000,0.236271,0.031840,0.000000,0.000000,76.000000,231.000000,254.000000,254.000000,231.000000,0,
150,1758492800180.166992,0.050000,0.238620,0.045799,0.000000,0.000000,72.000000,245.000000,254.000000,254.000000,245.000000,0,
151,1758492800345.937988,0.050000,0.239098,0.051612,0.000000,0.000000,73.000000,250.000000,255.000000,255.000000,250.000000,0,
152,1758492800513.755859,0.050000,0.246802,0.042806,0.000000,0.000000,73.000000,241.000000,255.000000,255.000000,241.000000,0,
153,1758492800679.656006,0.050000,0.254151,0.033456,0.000000,0.000000,79.000000,234.000000,255.000000,255.000000,234.000000,0,
154,1758492800847.474854,0.050000,0.245961,0.024530,0.000000,0.000000,89.000000,233.000000,253.000000,253.000000,233.000000,0,
155,1758492801013.375000,0.050000,0.238882,0.022733,0.000000,0.000000,98.000000,230.000000,253.000000,253.000000,230.000000,0,
156,1758492801181.218994,0.050000,0.236116,0.027188,0.000000,0.000000,104.000000,233.000000,253.000000,253.000000,233.000000,0,
157,1758492801347.119141,0.050000,0.235769,0.029386,0.000000,0.000000,105.000000,234.000000,253.000000,253.000000,234.000000,0,
158,1758492801514.781982,0.050000,0.236161,0.026003,0.000000,0.000000,109.000000,233.000000,253.000000,253.000000,233.000000,0,
159,1758492801680.681885,0.050000,0.218937,0.012437,0.000000,0.000000,116.000000,227.000000,251.000000,251.000000,227.000000,0,
160,1758492801848.527100,0.050000,0.226968,0.024095,0.000000,0.000000,111.000000,230.000000,254.000000,254.000000,230.000000,0,
161,1758492802014.427002,0.050000,0.228952,0.019984,0.000000,0.000000,110.000000,215.000000,254.000000,254.000000,215.000000,0,
162,1758492802182.245117,0.050000,0.233691,0.027011,0.000000,0.000000,105.000000,221.000000,254.000000,254.000000,221.000000,0,
163,1758492802348.144775,0.050000,0.237990,0.027773,0.000000,0.000000,102.000000,220.000000,254.000000,254.000000,220.000000,0,
164,1758492802515.989990,0.050000,0.239220,0.027576,0.000000,0.000000,102.000000,219.000000,254.000000,254.000000,219.000000,0,
165,1758492802681.890137,0.050000,0.236978,0.024778,0.000000,0.000000,104.000000,216.000000,254.000000,254.000000,216.000000,0,
166,1758492802849.708008,0.050000,0.233591,0.020003,0.000000,0.000000,108.000000,219.000000,254.000000,254.000000,219.000000,0,
167,1758492803015.608154,0.050000,0.232308,0.022311,0.000000,0.000000,107.000000,225.000000,254.000000,254.000000,225.000000,0,
168,1758492803183.452881,0.050000,0.242848,0.018478,0.000000,0.000000,106.000000,220.000000,254.000000,254.000000,220.000000,0,
169,1758492803349.353027,0.050000,0.260856,0.008808,0.000000,0.000000,97.000000,218.000000,248.000000,248.000000,218.000000,0,
170,1758492803517.170898,0.050000,0.265578,0.014914,0.000000,0.000000,89.000000,220.000000,252.000000,252.000000,220.000000,0,
171,1758492803683.071045,0.050000,0.268144,0.016926,0.000000,0.000000,76.000000,216.000000,254.000000,254.000000,216.000000,0,
172,1758492803850.889893,0.050000,0.266205,0.018655,0.000000,0.000000,67.000000,217.000000,253.000000,253.000000,217.000000,0,
173,1758492804016.790039,0.050000,0.265082,0.022927,0.000000,0.000000,62.000000,218.000000,254.000000,254.000000,218.000000,0,
174,1758492804184.634033,0.050000,0.247902,0.032890,0.000000,0.000000,67.000000,231.000000,254.000000,254.000000,231.000000,0,
175,1758492804350.533936,0.050000,0.241877,0.042438,0.000000,0.000000,69.000000,243.000000,254.000000,254.000000,243.000000,0,
176,1758492804518.352783,0.050000,0.237035,0.046355,0.000000,0.000000,71.000000,247.000000,254.000000,254.000000,247.000000,0,
177,1758492804684.252930,0.050000,0.234228,0.047140,0.000000,0.000000,72.000000,248.000000,254.000000,254.000000,248.000000,0,
178,1758492804851.916016,0.050000,0.234260,0.046601,0.000000,0.000000,73.000000,247.000000,255.000000,255.000000,247.000000,0,
179,1758492805018.775146,0.050000,0.240678,0.041934,0.000000,0.000000,74.000000,241.000000,255.000000,255.000000,241.000000,0,
